Gene	Parameter1	Parameter2
ALG1	43.844902911335	254482
ALG10	44.6353339142234	254094
ALG10B	64.7303982697757	254660
ALG12	63.836352155719	254050
ALG14	12.6511420024701	254434
ALG1L	14.1603138814358	254120
ALG2	38.7060502295211	254138
ALG3	37.0635243240776	254394
ALG5	9.38218758795927	254026
ALG6	47.1565982711687	254260
ALG8	56.6422179102047	254294
ALG9	30.3464893093902	254538
ALK	395.509736510629	254326
ALKBH1	38.8946389572529	254592
ALKBH2	57.4255341290093	254304
ALKBH3	60.1674546251391	254138
ALKBH4	9.45612255968253	253572
ALKBH5	3.68337787450709	254250
ALKBH6	17.6393164770139	254038
ALKBH7	34.5360652503793	253872
ALKBH8	32.3480298020312	253854
ALLC	66.1264995388504	254590
ALMS1	329.895388009195	254798
ALOX12	84.7788596649605	254592
ALOX12B	53.6323589341572	254322
ALOX15	124.552562739892	254322
ALOX15B	88.4198503356131	254094
ALOX5	30.0253607277239	254338
ALOX5AP	13.3124325168444	253976
ALOXE3	79.1244397291728	254342
ALPI	77.2144023134786	254122
ALPK1	167.299427386594	254666
ALPK2	171.60619428545	254090
ALPK3	132.675364663271	254048
ALPL	54.1915191587488	254602
ALPP	61.3685982317667	254646
ALPPL2	58.1263008429728	254804
ALS2	85.3927488109205	254794
ALS2CL	142.325876565831	254142
ALS2CR12	112.26016320504	254830
ALX1	5.81169954675038	254560
ALX3	7.50748545658516	254270
ALX4	13.9462797169673	254342
ALYREF	0.525988923545158	254102
AMACR	16.8548551605507	254482
AMBN	65.9663380703084	254202
AMBP	64.900790649594	254018
AMBRA1	31.6679454475275	254512
AMD1	32.6862419709024	253948
AMDHD1	46.7646284934138	254044
AMDHD2	24.949806689309	252438
AMER3	50.4862851521792	254512
AMFR	46.3785635601683	253956
AMH	69.8582216584787	245452
AMHR2	49.5534411953445	254100
AMICA1	24.8793102459799	254804
AMIGO1	3.48767062350286	254004
AMIGO2	7.48356323894395	254132
AMIGO3	72.7437279979186	254152
AMMECR1L	3.08915618802898	252726
AMN	43.7852133810886	253816
AMN1	9.61558036244061	253760
AMOTL1	35.4385147157919	254638
AMOTL2	30.5627879626545	254040
AMPD1	96.7342424107464	254140
AMPD2	51.9808960198317	254308
AMPD3	92.746045255027	254142
AMPH	29.0170411277087	254320
AMT	23.7965070833793	254600
AMTN	22.5528251798411	254328
AMY2A	19.8639972346396	253076
AMY2B	85.2881925016852	253756
AMZ1	117.885114665952	253924
AMZ2	73.7953000651319	254478
ANAPC10	14.5063440589058	254554
ANAPC11	29.5861545015504	254242
ANAPC13	10.2896193414078	254662
ANAPC15	12.5242084043847	254566
ANAPC16	9.27981654916916	254488
ANAPC2	6.51102708244064	254272
ANAPC4	42.4009040980277	253966
ANAPC5	52.7541621403521	254588
ANAPC7	12.4353487085469	254594
ANG	20.2524543444902	254342
ANGEL1	49.8001729216539	254840
ANGEL2	40.5051316428557	254472
ANGPT1	7.20136752192312	253970
ANGPT2	12.2572184894949	254566
ANGPT4	32.9579960458672	254112
ANGPTL1	49.8223696289979	254144
ANGPTL2	16.080885300757	254338
ANGPTL3	63.9949096617202	253870
ANGPTL4	56.05769557795	254564
ANGPTL5	56.8633963486071	254632
ANGPTL6	31.9960875361271	254452
ANGPTL7	40.6716546383551	254070
ANK1	23.5864085979682	254582
ANK2	42.8901109763403	254620
ANK3	31.8603728946972	254086
ANKAR	162.788776202498	254542
ANKDD1A	101.55346641668	254592
ANKEF1	81.4802495266021	254608
ANKFN1	46.6501549429244	253908
ANKFY1	27.4861001539845	254084
ANKH	20.7500536103873	254096
ANKHD1	7.29790554648896	251926
ANKHD1-EIF4EBP3	4.59812158050084	254102
ANKIB1	16.7006676415578	254268
ANKK1	65.2970184742387	254548
ANKLE1	75.2540914412258	254088
ANKLE2	135.796406166504	254576
ANKMY1	134.867108906843	254052
ANKMY2	27.2161210648862	254230
ANKRA2	38.8266368327189	254584
ANKRD1	57.9160077367444	254492
ANKRD10	18.6870388489633	254326
ANKRD11	11.6848864635501	253914
ANKRD12	50.8584808346019	254554
ANKRD13A	25.5482728248512	254042
ANKRD13B	10.4348744740307	254556
ANKRD13C	11.6571148694993	254540
ANKRD13D	22.4293597544652	254586
ANKRD16	33.992239724355	254602
ANKRD17	8.37769597276432	254254
ANKRD18A	2.05580453517389	254842
ANKRD2	57.9963240424274	254222
ANKRD20A4	0.806910853022101	254142
ANKRD22	15.6327198928891	254662
ANKRD23	76.849485198756	254572
ANKRD24	69.4573389443913	254084
ANKRD26	175.943546124226	254620
ANKRD27	162.695594333868	254668
ANKRD28	14.3657422921835	254060
ANKRD29	37.8889608969387	254284
ANKRD30A	118.79182012501	254364
ANKRD30B	59.2569584569511	253972
ANKRD32	78.0589072284591	254282
ANKRD33	68.0052838599226	254596
ANKRD34A	1.80388237895423	253490
ANKRD34B	70.6047002720012	254576
ANKRD35	133.4559138209	254476
ANKRD36	179.212043246881	254294
ANKRD37	30.3678774155919	254466
ANKRD39	20.5700566388821	254518
ANKRD40	19.7592727753954	254096
ANKRD42	57.1972938430708	254640
ANKRD44	29.0860590466177	254578
ANKRD45	35.5837225038425	254434
ANKRD46	6.54223932190059	254158
ANKRD49	14.4402599983097	254104
ANKRD50	44.5120546187484	253856
ANKRD52	5.38427861012849	253840
ANKRD53	57.93777757672	254052
ANKRD54	11.918525597981	254234
ANKRD55	54.5312837233903	254580
ANKRD6	60.8330156792057	254576
ANKRD7	29.7613496302251	253990
ANKRD9	1.4058299777432	108624
ANKS1A	21.3228226504849	254600
ANKS1B	39.7918155163936	253996
ANKS3	37.5504171284399	254070
ANKS4B	30.5697765613305	254518
ANKS6	48.8357387189057	254566
ANKZF1	111.098644436824	254118
ANLN	32.7672814498993	254526
ANO1	26.8147816897561	254576
ANO10	73.1321741292335	254044
ANO2	79.6698726041693	254072
ANO3	70.1185960674457	254790
ANO4	45.2963639814915	254742
ANO5	115.776891351183	254808
ANO6	140.924249254055	254554
ANO7	145.66328540135	254042
ANO8	25.4565630557234	254318
ANO9	84.1182839636696	254514
ANP32A	2.78787988615008	254282
ANP32B	1.68909312400246	158478
ANP32D	13.154495349485	254366
ANP32E	16.7509030659072	251510
ANPEP	54.3504155930353	254672
ANTXR1	15.5776281245309	254300
ANTXR2	56.4854383671714	254280
ANXA1	42.8992035225613	253692
ANXA10	53.308795041072	254420
ANXA11	58.4209086494398	254796
ANXA13	63.0993707389605	254290
ANXA2	17.8220431049409	254046
ANXA2R	20.3141973050458	254046
ANXA3	50.0159857419479	253860
ANXA4	57.1057763032779	254004
ANXA5	59.0269726943063	254328
ANXA6	31.7248532259405	254450
ANXA7	47.3782836107942	254032
ANXA9	68.155062344054	254140
AOAH	68.586543895984	254478
AOC1	56.0752973659327	254302
AOC2	136.385758613241	254342
AOC3	76.486458840965	254600
AOX1	109.772702812498	254508
AP1AR	29.1049217526373	254184
AP1B1	17.0161119563879	254582
AP1G1	5.63803420210532	254084
AP1G2	137.204324344175	254340
AP1M1	18.4595188786213	254606
AP1M2	33.1423217961083	253672
AP1S1	11.6247751561741	253436
AP1S3	14.5218617553649	254182
AP2A1	7.88178402701427	253724
AP2A2	15.3267695064769	254298
AP2B1	10.9520676134554	254546
AP2M1	12.3936484586589	254572
AP2S1	3.53057205605005	254840
AP3B1	31.7357384610151	254570
AP3B2	29.3194619582922	254106
AP3D1	18.4690218690599	254084
AP3M1	17.8573536346308	254408
AP3M2	54.9595658624086	254824
AP3S1	18.4574978733787	251864
AP3S2	0.624035422355525	156570
AP4B1	86.7907515138997	254668
AP4E1	54.4627856812063	254404
AP4M1	90.4863742260686	254342
AP4S1	33.6696713584493	254320
AP5B1	40.9622021318583	253682
AP5M1	43.1639743640605	254632
AP5S1	27.3410292185597	254282
APAF1	89.8378072833061	254840
APBA1	12.445590320446	253978
APBA2	16.3481483851522	254482
APBA3	54.4428378431267	254150
APBB1	17.553022885055	254602
APBB1IP	13.3120744390136	254324
APBB2	26.017199621458	254568
APBB3	41.2506776866331	254648
APC	38.5911134747381	254308
APC2	30.6472536372609	253754
APCDD1	19.9308926886132	254548
APCDD1L	37.7583083253108	254658
APCS	22.4755137165845	254462
APEH	80.9076869362926	254836
APEX1	49.8962719425497	254102
APH1A	3.61385677582787	253844
APH1B	32.734090087355	254524
API5	4.77361601453377	254512
APIP	36.7427419358026	254110
APLF	82.8936318001111	253828
APLNR	7.42427356602863	254542
APLP1	22.9186403124481	254120
APLP2	16.6356379346468	254316
APMAP	47.3185020884341	254834
APOA1	11.4791664153772	254070
APOA2	8.2056465741589	254298
APOA4	32.7983029009323	254660
APOA5	40.7254065003854	254272
APOB	180.036836995363	254138
APOBEC1	35.5733901728796	254048
APOBEC2	21.5004319310373	254066
APOBEC3A	0.45216133083953	254342
APOBEC3B	22.0966447815051	247962
APOBEC3C	23.6052483464574	254598
APOBEC3D	40.187651001769	254318
APOBEC3F	39.2435531347774	254480
APOBEC3G	50.0838947189709	254342
APOBEC3H	18.6322722834016	254838
APOBEC4	26.474077197897	254588
APOBR	125.467810771774	254142
APOC1	32.2363805528892	254556
APOC3	8.43791261306378	254464
APOD	31.3706285018138	254472
APOE	20.6099825802144	254838
APOF	32.6916465813303	254646
APOH	44.9002160710356	254314
APOL1	64.9196632815868	254588
APOL2	41.6435004885234	253994
APOL3	86.8556915828377	254644
APOL4	1.6786543812869	254580
APOL5	42.018175954414	254142
APOL6	30.4007964806622	254002
APOLD1	25.5641577245315	254310
APOM	12.120156589026	254500
APOPT1	21.513289278517	254134
APP	20.3333960366861	254660
APPBP2	7.58132686530945	254536
APPL1	25.1473709020971	254578
APPL2	102.782963564022	254590
APRT	39.7047913660971	254254
APTX	60.1345805354594	254576
AQP1	21.809360849304	254310
AQP10	39.5082028368065	254320
AQP11	35.5260872227484	254574
AQP12A	8.19918387993135	247206
AQP12B	14.2368306526321	253652
AQP2	27.5770807129463	254594
AQP3	21.855339792876	254370
AQP4	14.5806098668419	254666
AQP5	20.3725295284279	254560
AQP6	41.3892301429331	253804
AQP7	0.715197714699077	254482
AQP8	16.5422653659294	254318
AQP9	22.5362457670906	254032
AQPEP	71.0000855561154	254080
AQR	30.8907531829949	254072
