Gene	Parameter1	Parameter2
ANKRD35	0.705203594826088	258232
ANKRD36	2.39163035905408	205784
ANKRD37	8.26930251986346	256870
ANKRD39	36.0826284059046	258142
ANKRD40	3.33159575898699	257594
ANKRD42	59.9437711598564	257902
ANKRD44	154.378315178753	258230
ANKRD45	15.1438530403918	257078
ANKRD46	2.20216016993573	255932
ANKRD49	28.9774732930742	257870
ANKRD50	88.5150119713762	257602
ANKRD52	24.9301854983896	257140
ANKRD53	22.1623997381295	255864
ANKRD54	27.9663773570942	255998
ANKRD55	74.0199574018006	256878
ANKRD6	60.323729596804	256064
ANKRD7	10.6461923466998	255304
ANKRD9	17.4505439549776	210854
ANKS1A	44.4165611592966	258166
ANKS1B	30.5672896391387	256834
ANKS3	76.6500812875137	255860
ANKS4B	34.1020229199996	257468
ANKS6	103.096597828289	258204
ANKZF1	168.190142117492	257136
ANLN	17.8197670865404	255972
ANO1	153.081619108682	258212
ANO10	137.483180554363	257732
ANO2	234.181498968014	257566
ANO3	90.3621728249272	258150
ANO4	137.091653758115	257054
ANO5	194.760581416989	257878
ANO6	151.257437186162	258166
ANO7	115.473531732719	256992
ANO8	77.0845502728149	258226
ANO9	121.089390825427	256894
ANP32A	13.338894794064	257898
ANP32B	18.8766449093041	255700
ANP32D	2.0921818603509	255732
ANP32E	15.9045228773218	256430
ANPEP	19.6800713642845	257574
ANTXR1	108.043077754978	258230
ANTXR2	75.6204017726863	257716
ANXA1	0.00160047918477	257172
ANXA10	0	255872
ANXA11	9.32291307934595	256968
ANXA13	0.192359953791935	256092
ANXA2	2.0174746599922	257766
ANXA2R	0	256992
ANXA3	0.0247089040880535	255872
ANXA4	1.05148115002865	257832
ANXA5	0.0497868949232275	257772
ANXA6	5.17671953022444	257464
ANXA7	0.000875173335221406	257772
ANXA9	0	257912
AOAH	102.468201836239	255868
AOC1	26.6554247200031	257748
AOC2	24.393303953204	256880
AOC3	10.507348095377	257316
AOX1	168.866612005412	258206
AP1AR	1.06956178482173	256736
AP1B1	34.1445717052816	257140
AP1G1	1.70940314463562	258218
AP1G2	10.384593740054	257172
AP1M1	19.7198113697412	258206
AP1M2	76.6901065650953	257512
AP1S1	10.783835975525	255686
AP1S3	52.5034937611277	255784
AP2A1	0.664959206629498	257172
AP2A2	8.73306640149811	256920
AP2B1	2.9962743512194	256696
AP2M1	4.85949445356041	258212
AP2S1	4.44931760233356	257114
AP3B1	23.9363887380319	256936
AP3B2	75.1747409079496	257560
AP3D1	9.56558875809444	257010
AP3M1	41.894668331241	256064
AP3M2	87.6921083382932	258228
AP3S1	3.87800340374656	254646
AP3S2	1.09523501862545	257592
AP4B1	2.12763717671741	256080
AP4E1	1.06018005145061	252268
AP4M1	71.0378715487435	257772
AP4S1	10.939793463652	256848
AP5B1	0	258232
AP5M1	2.05064335425482	257110
AP5S1	0	258232
APAF1	150.912311416977	256886
APBA1	15.0147241415893	257046
APBA2	8.93231273758127	256090
APBA3	15.4968482350464	256078
APBB1	6.55640901355375	257022
APBB1IP	20.6616346258689	257580
APBB2	20.8013662144411	258192
APBB3	18.6101995075232	257134
APC	956.681706280009	255848
APC2	545.836682625116	257966
APCDD1	0	255872
APCDD1L	8.39357759416732	252246
APCS	9.18803263515762	258090
APEH	20.7142806641783	255868
APEX1	142.493741176235	257912
APH1A	1.43083272792	256398
APH1B	11.3818617213691	255764
API5	0	258232
APIP	10.120744415464	255062
APLF	31.4312548259715	255784
APLNR	32.5940965375416	256836
APLP1	177.601425433052	258230
APLP2	299.054679546177	258230
APMAP	32.876071426838	257770
APOA1	24.3468684479447	255860
APOA2	0	256992
APOA4	82.8088856678621	257168
APOA5	76.6795608846383	257830
APOB	99.3490037232168	255872
APOBEC1	14.5687272027634	258226
APOBEC2	12.3835586941979	255970
APOBEC3A	0.139960408933867	256992
APOBEC3B	8.24998921647626	250810
APOBEC3C	16.3066583826842	257172
APOBEC3D	28.4967133302559	257166
APOBEC3F	35.0123957723131	257586
APOBEC3G	7.24658386114303	256990
APOBEC3H	13.3762398381	255868
APOBEC4	4.08930600990638	255516
APOBR	0	256092
APOC1	0.00145851160111623	255872
APOC3	28.5696056658913	255854
APOD	14.3853712879463	256884
APOE	95.2389208596851	256820
APOF	0.0202397885136057	256992
APOH	67.2696462001004	256888
APOL1	0	255872
APOL2	0	256092
APOL3	0	258232
APOL4	0.00295390027579975	256092
APOL5	0	255872
APOL6	0	258232
APOLD1	0	256092
APOM	0.050422866121293	255872
APOPT1	5.11184382546076	258222
APP	305.09316251708	256992
APPBP2	47.3671141164887	257754
APPL1	1.06113392427002	253436
APPL2	16.0497759015822	257760
APRT	84.6146750527925	257912
APTX	171.935268631327	255856
AQP1	197.554387017454	256892
AQP10	68.9355729308611	258230
AQP11	39.820191979266	255862
AQP12A	24.9704203622369	246500
AQP12B	10.4419160832509	256706
AQP2	137.145970455486	255872
AQP3	48.1564077009008	257590
AQP4	103.536376625678	258226
AQP5	136.648096105681	257558
AQP6	137.824436359896	256950
AQP7	1.99315145400927	258232
AQP8	148.163741251174	257152
AQP9	105.455595140508	256020
AQPEP	2.07350018263599	244528
AQR	491.33109091945	257144
ARAP1	44.318107624679	256042
ARAP2	142.264551355357	255818
ARAP3	94.9338817964047	256988
ARC	0	257172
ARCN1	8.71587678245661	255848
AREG	0.285814605383442	257172
AREL1	69.977186967463	257560
ARF1	8.04974930439529	255714
ARF3	12.9903146532395	257770
ARF4	20.5308608120496	258136
ARF5	30.4147154282058	257156
ARF6	13.4750027603282	257582
ARFGAP1	22.3518964500016	257058
ARFGAP2	17.4210435868468	257768
ARFGAP3	40.0718638718124	257660
ARFGEF1	54.2363483633831	256814
ARFGEF2	149.313590966759	256092
ARFIP1	80.1808233088284	256976
ARFIP2	75.1289167947067	255868
ARFRP1	47.6885371650214	257850
ARG1	173.556016740689	255800
ARG2	128.408793811672	257172
ARGFX	32.0847968323118	256778
ARGLU1	2.60098149837692	257130
ARHGAP1	41.8029612830739	257768
ARHGAP10	15.9134071241249	257872
ARHGAP11A	83.2611146933223	257708
ARHGAP11B	1.07605326249534	255534
ARHGAP12	57.8231430483248	255804
ARHGAP15	37.3653356751836	256288
ARHGAP17	17.9311186526771	255850
ARHGAP18	34.664915305025	257478
ARHGAP19	14.4030645767372	257590
ARHGAP20	2.49577097932901	254874
ARHGAP21	43.9351250119137	256832
ARHGAP22	56.6739379116711	255870
ARHGAP24	23.7911055449363	256860
ARHGAP25	14.2165865854659	257572
ARHGAP26	7.11562629703581	256818
ARHGAP27	29.1217567003943	256732
